,Country
125,Egypt
126,Hungary
127,Falkland Islands (Malvinas)
128,Dominica
129,Jersey
130,Lithuania
131,Saint Martin
132,Cuba
133,United States Minor Outlying Islands
134,Belize
135,Belize
136,Antarctica (the territory South of 60 deg S)
137,Saint Vincent and the Grenadines
138,Kuwait
139,Thailand
140,Gibraltar
141,Holy See (Vatican City State)
142,Korea
143,Saint Helena
144,Turks and Caicos Islands
145,Czech Republic
146,Netherlands
147,Belarus
148,Dominica
149,South Africa
150,New Zealand
151,Togo
152,Kenya
153,Palau
154,Timor-Leste
155,Cambodia
156,Belize
157,Cuba
158,Costa Rica
159,Liechtenstein
160,Korea
161,Ukraine
162,Angola
163,Nauru
164,Equatorial Guinea
165,Mongolia
166,Svalbard & Jan Mayen Islands
167,Timor-Leste
168,Brazil
169,Chad
170,Portugal
171,Malawi
172,Qatar
173,Singapore
174,Guinea
175,Kazakhstan
176,Kuwait
177,Rwanda
178,China
179,Bouvet Island (Bouvetoya)
180,Vietnam
181,Guatemala
182,Peru
183,Mayotte
184,Samoa
185,Singapore
186,Jamaica
187,Bahamas
188,Canada
189,Algeria
190,Fiji
191,Kenya
192,Argentina
193,Bouvet Island (Bouvetoya)
194,Philippines
195,Senegal
196,Suriname
197,Liberia
198,Guam
199,United Arab Emirates
200,Antigua and Barbuda
201,Argentina
202,Georgia
203,Jordan
204,Saudi Arabia
205,South Africa
206,Croatia
207,Fiji
208,Australia
209,Sao Tome and Principe
210,Fiji
211,Cyprus
212,Kyrgyz Republic
213,Pakistan
214,Seychelles
215,Samoa
216,Bulgaria
217,Mauritania
218,Czech Republic
219,Chile
220,Poland
221,Estonia
222,Turkmenistan
223,Latvia
224,Fiji
225,Turkey
226,Kazakhstan
227,Bahrain
228,Colombia
229,Brunei Darussalam
230,Taiwan
231,Serbia
232,Saint Pierre and Miquelon
233,Australia
234,Chad
235,Norway
236,Turks and Caicos Islands
237,Finland
238,South Africa
239,Martinique
240,Afghanistan
241,Micronesia
242,French Southern Territories
243,Philippines
244,Algeria
245,San Marino
246,Guernsey
247,Sierra Leone
248,Tajikistan
249,Liechtenstein
250,Ecuador
251,Switzerland
252,Moldova
253,Finland
254,France
255,Venezuela
256,Cuba
257,Peru
258,Turkey
259,Albania
260,French Southern Territories
261,Papua New Guinea
262,Liechtenstein
263,Thailand
264,Malaysia
265,Mauritius
266,Algeria
267,Christmas Island
268,Japan
269,Greenland
270,Sao Tome and Principe
271,Senegal
272,Guadeloupe
273,Belgium
274,Israel
275,Honduras
276,Estonia
277,Paraguay
278,Kyrgyz Republic
279,Mauritania
280,French Guiana
281,Northern Mariana Islands
282,Lebanon
283,Saint Pierre and Miquelon
284,American Samoa
285,Austria
286,Tonga
287,Tonga
288,French Southern Territories
289,Serbia
290,New Caledonia
291,Taiwan
292,United States of America
293,Morocco
294,Suriname
295,Macedonia
296,Wallis and Futuna
297,Chile
298,Gabon
299,Gabon
300,Holy See (Vatican City State)
301,Seychelles
302,Mayotte
303,Uganda
304,Cambodia
305,Antigua and Barbuda
306,Cameroon
307,Somalia
308,Lebanon
309,Saint Pierre and Miquelon
310,Dominica
311,Hungary
312,Taiwan
313,Saint Lucia
314,Niue
315,France
316,Cyprus
317,French Southern Territories
318,Costa Rica
319,Austria
320,Zambia
321,Congo
322,United States of America
323,Pitcairn Islands
324,Belize
325,Anguilla
326,South Africa
327,Singapore
328,Finland
329,Martinique
330,Cameroon
331,Sweden
332,New Caledonia
333,Bosnia and Herzegovina
334,Singapore
335,Falkland Islands (Malvinas)
336,Bosnia and Herzegovina
337,Mauritius
338,Indonesia
339,Czech Republic
340,Eritrea
341,Mexico
342,Gibraltar
343,Haiti
344,Falkland Islands (Malvinas)
345,Eritrea
346,Hong Kong
347,Gambia
348,Barbados
349,Nauru
350,Peru
351,El Salvador
352,Libyan Arab Jamahiriya
353,Cambodia
354,Saint Barthelemy
355,Reunion
356,Antigua and Barbuda
357,Samoa
358,Afghanistan
359,Azerbaijan
360,Philippines
361,Angola
362,Albania
363,Hungary
364,Faroe Islands
365,Czech Republic
366,Svalbard & Jan Mayen Islands
367,Afghanistan
368,Rwanda
369,Panama
370,Samoa
371,United States Minor Outlying Islands
372,Greece
373,Cote d'Ivoire
374,Pakistan
375,Anguilla
376,Cyprus
377,Peru
378,Kenya
379,Chad
380,Kyrgyz Republic
381,Albania
382,Gabon
383,Dominican Republic
384,Zimbabwe
385,Croatia
386,Cambodia
387,Mongolia
388,Honduras
389,Madagascar
390,Qatar
391,China
392,Bangladesh
393,Swaziland
394,Tanzania
395,Eritrea
396,Canada
397,Saint Kitts and Nevis
398,Burkina Faso
399,Tuvalu
400,El Salvador
401,Madagascar
402,Bangladesh
403,American Samoa
404,Latvia
405,Moldova
406,Anguilla
407,Bangladesh
408,Faroe Islands
409,Taiwan
410,Heard Island and McDonald Islands
411,Israel
412,Bolivia
413,Bahamas
414,Costa Rica
415,Myanmar
416,Netherlands Antilles
417,Czech Republic
418,Iceland
419,Palau
420,Libyan Arab Jamahiriya
421,Kazakhstan
422,French Guiana
423,Tuvalu
424,Congo
425,United Kingdom
426,Luxembourg
427,French Polynesia
428,Papua New Guinea
429,Maldives
430,Zambia
431,Cook Islands
432,Congo
433,Senegal
434,Myanmar
435,Dominican Republic
436,Bahrain
437,Puerto Rico
438,Chile
439,Bolivia
440,Serbia
441,Malaysia
442,Estonia
443,Greenland
444,Trinidad and Tobago
445,Thailand
446,Philippines
447,Niue
448,Afghanistan
449,Angola
450,Egypt
451,Fiji
452,Portugal
453,Austria
454,Germany
455,Panama
456,United States of America
457,Christmas Island
458,Equatorial Guinea
459,Micronesia
460,Malta
461,Ecuador
462,Sudan
463,Lao People's Democratic Republic
464,Saint Vincent and the Grenadines
465,Switzerland
466,Spain
467,Turks and Caicos Islands
468,Indonesia
469,Cook Islands
470,Australia
471,Finland
472,Pakistan
473,Ireland
474,Eritrea
475,France
476,Austria
477,Heard Island and McDonald Islands
478,Western Sahara
479,Liberia
480,Dominican Republic
481,Tonga
482,Lao People's Democratic Republic
483,United States of America
484,Belgium
485,Indonesia
486,Croatia
487,Brunei Darussalam
488,American Samoa
489,Netherlands Antilles
490,Thailand
491,Greece
492,French Polynesia
493,Guernsey
494,Isle of Man
495,Holy See (Vatican City State)
496,El Salvador
497,China
498,Myanmar
499,Macao
500,Australia
501,United States Virgin Islands
502,Mexico
503,Djibouti
504,Cote d'Ivoire
505,Mali
506,Jamaica
507,Romania
508,Cayman Islands
509,Gambia
510,Algeria
511,Puerto Rico
512,Norfolk Island
513,Turkey
514,Guinea
515,Moldova
516,Greece
517,American Samoa
518,Honduras
519,Mongolia
520,Ethiopia
521,Ethiopia
522,Sri Lanka
523,Morocco
524,United Arab Emirates
525,Western Sahara
526,Western Sahara
527,Cambodia
528,New Zealand
529,Australia
530,Bulgaria
531,Libyan Arab Jamahiriya
532,Barbados
533,French Polynesia
534,Uruguay
535,Uruguay
536,Brazil
537,Venezuela
538,Myanmar
539,Malta
540,Jamaica
541,Bahrain
542,Algeria
543,Tuvalu
544,Georgia
545,Cambodia
546,Guam
547,Tanzania
548,Indonesia
549,Somalia
550,Belize
551,Serbia
552,Australia
553,Guam
554,Christmas Island
555,Papua New Guinea
556,Bahamas
557,Comoros
558,Western Sahara
559,Nicaragua
560,Guam
561,Vanuatu
562,Bolivia
563,Malawi
564,Venezuela
565,Nepal
566,United Kingdom
567,Albania
568,Madagascar
569,Guyana
570,Yemen
571,India
572,Puerto Rico
573,United States Virgin Islands
574,Antigua and Barbuda
575,French Guiana
576,Antigua and Barbuda
577,Turkmenistan
578,Honduras
579,Seychelles
580,Cyprus
581,Saint Pierre and Miquelon
582,Poland
583,Taiwan
584,Cote d'Ivoire
585,Micronesia
586,Liberia
587,Saudi Arabia
588,Nepal
589,Ghana
590,Iran
591,New Zealand
592,Libyan Arab Jamahiriya
593,Sri Lanka
594,United Arab Emirates
595,Indonesia
596,Saint Vincent and the Grenadines
597,Mongolia
598,Honduras
599,Papua New Guinea
600,Kyrgyz Republic
601,Ethiopia
602,Rwanda
603,Kyrgyz Republic
604,Grenada
605,Togo
606,Pakistan
607,Falkland Islands (Malvinas)
608,Jersey
609,Cayman Islands
610,South Africa
611,Micronesia
612,Tajikistan
613,Bolivia
614,Cameroon
615,Ecuador
616,Zambia
617,Guinea-Bissau
618,Micronesia
619,Bahamas
620,Cape Verde
621,French Polynesia
622,Saudi Arabia
623,France
624,Burundi
625,Latvia
626,Morocco
627,Venezuela
628,Palau
629,Isle of Man
630,Peru
631,Belgium
632,Croatia
633,France
634,Slovenia
635,Peru
636,Belarus
637,Bolivia
638,Benin
639,Wallis and Futuna
640,Azerbaijan
641,Mongolia
642,Denmark
643,Russian Federation
644,Brazil
645,Ethiopia
646,Guyana
647,Ethiopia
648,Mauritius
649,Djibouti
650,Syrian Arab Republic
651,Saint Martin
652,Netherlands Antilles
653,Greece
654,Madagascar
655,Senegal
656,Burkina Faso
657,Czech Republic
658,Lao People's Democratic Republic
659,Netherlands Antilles
660,Qatar
661,Andorra
662,Liechtenstein
663,China
664,Vietnam
665,Tajikistan
666,Eritrea
667,Monaco
668,Israel
669,Hungary
670,Singapore
671,Cuba
672,Reunion
673,Zambia
674,Gabon
675,Dominica
676,Bahamas
677,Tokelau
678,Turkmenistan
679,Belgium
680,French Guiana
681,Martinique
682,French Polynesia
683,Ecuador
684,Puerto Rico
685,United Arab Emirates
686,Burkina Faso
687,Luxembourg
688,Jamaica
689,Antarctica (the territory South of 60 deg S)
690,China
691,Western Sahara
692,Lebanon
693,Hong Kong
694,Vanuatu
695,Vanuatu
696,Guatemala
697,Greenland
698,Syrian Arab Republic
699,Saint Helena
700,Lebanon
701,Malta
702,Christmas Island
703,Ukraine
704,Malta
705,Italy
706,Japan
707,Mauritius
708,Turkey
709,Namibia
710,China
711,Netherlands
712,Gibraltar
713,Congo
714,Senegal
715,Hungary
716,Pitcairn Islands
717,Slovakia (Slovak Republic)
718,United States Virgin Islands
719,Monaco
720,Portugal
721,Turkey
722,Uganda
723,Norfolk Island
724,Niue
725,Ukraine
726,Vanuatu
727,United States Minor Outlying Islands
728,Armenia
729,Sweden
730,Timor-Leste
731,French Southern Territories
732,Finland
733,Saint Vincent and the Grenadines
734,Senegal
735,Burundi
736,Bahamas
737,Sweden
738,Svalbard & Jan Mayen Islands
739,Tonga
740,Korea
741,Kyrgyz Republic
742,Costa Rica
743,Liechtenstein
744,Zimbabwe
745,Costa Rica
746,Hungary
747,Fiji
748,Netherlands
749,Sweden
750,Barbados
751,Paraguay
752,Italy
753,Belarus
754,South Georgia and the South Sandwich Islands
755,Anguilla
756,Sierra Leone
757,Saint Martin
758,Uganda
759,Saudi Arabia
760,Greenland
761,Venezuela
762,Liberia
763,Mali
764,Bosnia and Herzegovina
765,Brunei Darussalam
766,South Georgia and the South Sandwich Islands
767,Czech Republic
768,El Salvador
769,Tokelau
770,France
771,Gabon
772,Bulgaria
773,Burkina Faso
774,Mayotte
775,Somalia
776,Albania
777,Bolivia
778,Jersey
779,British Virgin Islands
780,Saint Helena
781,Bosnia and Herzegovina
782,India
783,Georgia
784,United States Minor Outlying Islands
785,Kiribati
786,Ghana
787,Samoa
788,Iran
789,Costa Rica
790,Northern Mariana Islands
791,Liechtenstein
792,Grenada
793,Poland
794,Kenya
795,Iran
796,Belgium
797,Namibia
798,Cyprus
799,Japan
800,Zimbabwe
801,Andorra
802,Luxembourg
803,Cyprus
804,Turkey
805,Hong Kong
806,Netherlands
807,United States Virgin Islands
808,Marshall Islands
809,Western Sahara
810,Saint Vincent and the Grenadines
811,United States of America
812,Angola
813,Cayman Islands
814,Swaziland
815,Wallis and Futuna
816,Zimbabwe
817,Chad
818,Saint Martin
819,Rwanda
820,Moldova
821,Gabon
822,Denmark
823,Svalbard & Jan Mayen Islands
824,Poland
825,Fiji
826,Philippines
827,Vietnam
828,Jersey
829,Indonesia
830,Palestinian Territory
831,Latvia
832,Malta
833,Afghanistan
834,Austria
835,Micronesia
836,Mexico
837,Chile
838,Cuba
839,Belarus
840,Malawi
841,Afghanistan
842,Luxembourg
843,South Africa
844,Nepal
845,Spain
846,Hong Kong
847,Slovakia (Slovak Republic)
848,Cayman Islands
849,Uganda
850,Vanuatu
851,Anguilla
852,Switzerland
853,Zimbabwe
854,Uruguay
855,Liberia
856,Egypt
857,Greece
858,Bahrain
859,Sri Lanka
860,Kazakhstan
861,Greenland
862,Moldova
863,Poland
864,Anguilla
865,Central African Republic
866,Mexico
867,Togo
868,Armenia
869,Nicaragua
870,Eritrea
871,Canada
872,Croatia
873,Switzerland
874,Yemen
875,Tokelau
876,Armenia
877,Equatorial Guinea
878,Barbados
879,American Samoa
880,Saint Lucia
881,Algeria
882,Turkmenistan
883,Mayotte
884,South Africa
885,Macao
886,France
887,Equatorial Guinea
888,Mali
889,Mayotte
890,Pakistan
891,Guadeloupe
892,Denmark
893,New Zealand
894,Netherlands Antilles
895,Belarus
896,Taiwan
897,El Salvador
898,Taiwan
899,Peru
900,Liberia
901,Burundi
902,Macao
903,Venezuela
904,Luxembourg
905,Italy
906,San Marino
907,Madagascar
908,Norfolk Island
909,Vanuatu
910,Tunisia
911,Paraguay
912,Macedonia
913,Heard Island and McDonald Islands
914,Ethiopia
915,El Salvador
916,Niger
917,Timor-Leste
918,Uruguay
919,Somalia
920,Malaysia
921,Korea
922,Lao People's Democratic Republic
923,Bahamas
924,Guyana
925,Ethiopia
926,Bosnia and Herzegovina
927,Cyprus
928,Singapore
929,Dominican Republic
930,Bermuda
931,Jamaica
932,Saint Barthelemy
933,Albania
934,Mozambique
935,Zimbabwe
936,Georgia
937,Brazil
938,Syrian Arab Republic
939,Palestinian Territory
940,Grenada
941,Ghana
942,Brunei Darussalam
943,Lithuania
944,Maldives
945,Lesotho
946,Czech Republic
947,Iceland
948,Philippines
949,Cayman Islands
950,Haiti
951,Colombia
952,Luxembourg
953,United Arab Emirates
954,Ireland
955,Canada
956,Svalbard & Jan Mayen Islands
957,Malta
958,Sudan
959,Ecuador
960,Senegal
961,Cambodia
962,Belarus
963,Guyana
964,Mali
965,Iran
966,Bulgaria
967,Afghanistan
968,Liberia
969,Netherlands Antilles
970,Hong Kong
971,Palau
972,Malawi
973,Uruguay
974,Cyprus
975,Mexico
976,Niger
977,France
978,Japan
979,Norfolk Island
980,Bulgaria
981,Uzbekistan
982,Mexico
983,Brunei Darussalam
984,France
985,Yemen
986,Northern Mariana Islands
987,Poland
988,Bahrain
989,Saint Pierre and Miquelon
990,Tonga
991,Comoros
992,Montenegro
993,Isle of Man
994,Mayotte
995,Lebanon
996,Bosnia and Herzegovina
997,Mongolia
998,Guatemala
999,Brazil
